,index,date,Mobility_score,con_cases,moving_average_mob,moving_average_cases,demand,retail_and_recreation_percent_change_from_baseline
102,102,7/8/20,1.0,398,0.75,470.0,288125.22,-57
103,103,8/8/20,1.03210605,416,0.8,478.86,242238.53,-63
104,104,9/8/20,1.003698534,376,0.85,443.14,222331.91,-63
105,105,10/8/20,0.992641278,298,0.92,431.43,251919.5,-55
106,106,11/8/20,1.003009721,294,0.96,416.57,260282.45,-56
107,107,12/8/20,1.011800399,395,1.0,373.0,255890.62,-55
108,108,13/8/20,0.995841924,217,1.01,342.0,243828.88,-56
109,109,14/8/20,0.97748979,371,1.0,338.14,249280.18,-53
110,110,15/8/20,0.9613798000000001,283,0.99,319.14,227510.36,-57
111,111,16/8/20,0.9961548579999999,247,0.99,300.71,222069.49,-61
112,112,17/8/20,0.9848711179999999,263,0.99,295.71,243041.14,-54
113,113,18/8/20,0.984625813,211,0.99,283.86,238643.71,-55
114,114,19/8/20,1.016603902,208,0.99,257.14,259769.5,-56
115,115,20/8/20,0.9863698909999999,237,0.99,260.0,246981.71,-56
116,116,21/8/20,0.963101208,169,0.98,231.14,251414.08,-52
117,117,22/8/20,1.020874773,177,0.99,216.0,254262.74,-62
118,118,23/8/20,1.0,202,0.99,209.57,234250.13,-62
119,119,24/8/20,0.960484586,99,0.99,186.14,269969.58,-54
120,120,25/8/20,0.960656055,134,0.99,175.14,276875.71,-54
121,121,26/8/20,0.955702651,144,0.98,166.0,258644.62,-52
122,122,27/8/20,0.9420638640000001,106,0.97,147.29,238088.85,-55
123,123,28/8/20,0.879174665,108,0.96,138.57,237618.16,-49
124,124,29/8/20,0.89118733,81,0.94,124.86,200333.77,-54
125,125,30/8/20,0.946910997,112,0.93,112.0,197834.35,-59
126,126,31/8/20,0.9165707540000001,65,0.93,107.14,243210.79,-52
127,127,1/9/20,0.916431377,58,0.92,96.29,233977.33,-51
128,128,2/9/20,0.9285028340000001,86,0.92,88.0,227095.34,-52
129,129,3/9/20,0.9254672009999999,112,0.91,88.86,218654.92,-53
130,130,4/9/20,0.871638948,79,0.91,84.71,229731.29,-48
131,131,5/9/20,0.869240366,64,0.91,82.29,211068.02,-51
132,132,6/9/20,0.8325355659999999,59,0.89,74.71,191730.28,-54
133,133,7/9/20,0.88742609,36,0.89,70.57,199556.4,-51
134,134,8/9/20,0.92220212,41,0.89,68.14,224842.18,-53
135,135,9/9/20,0.8792212629999999,73,0.88,66.29,224280.94,-50
136,136,10/9/20,0.85158176,40,0.87,56.0,218656.67,-51
137,137,11/9/20,0.823600082,39,0.87,50.29,213286.1,-48
138,138,12/9/20,0.861837465,33,0.87,45.86,223289.2,-56
139,139,13/9/20,0.7737085909999999,35,0.86,42.43,192451.82,-53
140,140,14/9/20,0.776075581,37,0.84,42.57,214393.22,-47
141,141,15/9/20,0.773359982,39,0.82,42.29,226017.54,-47
142,142,16/9/20,0.81434995,32,0.81,36.43,221615.44,-47
