date,Mobility_score,con_cases,moving_average_mob,moving_average_cases
14-09-2020,0.776075581,37,0.84,42.57
15-09-2020,0.773359982,39,0.82,42.29
16-09-2020,0.81434995,32,0.81,36.43
17-09-2020,0.793192922,27,0.8,34.57
18-09-2020,0.7478042,42,0.79,35
19-09-2020,0.742615718,22,0.77,33.43
20-09-2020,0.741353372,8,0.77,29.57
21-09-2020,0.782586317,9,0.77,25.57
22-09-2020,0.819140924,25,0.78,23.57
23-09-2020,0.818470597,24,0.78,22.43
24-09-2020,0.786949322,5,0.78,19.29
25-09-2020,0.818641457,13,0.79,15.14
26-09-2020,0.814354055,11,0.8,13.57
27-09-2020,0.744034495,16,0.8,14.71
28-09-2020,0.677728816,4,0.78,14
29-09-2020,0.695919973,9,0.77,11.71
30-09-2020,0.730460927,11,0.75,9.86
01-10-2020,0.673911231,14,0.74,11.14
02-10-2020,0.646790622,8,0.71,10.43
03-10-2020,0.638226585,6,0.69,9.71
04-10-2020,0.580612663,12,0.66,9.14
05-10-2020,0.716777659,11,0.67,10.14
06-10-2020,0.712697588,13,0.67,10.71
07-10-2020,0.723784765,4,0.67,9.71
08-10-2020,0.747887742,10,0.68,9.14
09-10-2020,0.703329006,10,0.69,9.43
10-10-2020,0.616332036,12,0.69,10.29
11-10-2020,0.444870288,12,0.67,10.29
12-10-2020,0.50080875,14,0.64,10.71
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
